Date,RegionName,DaysOnZillow_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,Sale_Counts,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes
2017-09-30,Florida,95.25,157.816481069042,283990.0,1775.0,29928.0,205300.0,212600.0,1550.0
2017-09-30,New York,120.5,176.470588235294,339000.0,3600.0,17980.0,286200.0,304300.0,2160.0
2017-09-30,Texas,71.25,119.28104575163401,269000.0,1500.0,32243.0,218200.0,171100.0,1432.0
2017-09-30,Washington,55.875,206.569022272027,350000.0,1995.0,12218.0,327800.0,344100.0,1817.0
2017-10-31,California,61.0,299.827434234427,499990.0,2650.0,40056.0,458200.0,516500.0,2479.0
2017-10-31,Florida,98.0,158.314350797267,279900.0,1795.0,38286.0,205800.0,214200.0,1548.0
2017-10-31,New York,124.25,178.225347346011,339900.0,3295.0,17581.0,292200.0,305700.0,2160.0
2017-10-31,Texas,76.75,119.502868068834,269000.0,1495.0,32496.0,217100.0,171900.0,1434.0
2017-10-31,Washington,58.75,205.426356589147,350000.0,1950.0,11760.0,329000.0,346600.0,1829.0
2017-11-30,California,62.0,297.789625360231,499000.0,2600.0,36837.0,463200.0,520500.0,2487.0
2017-11-30,Florida,99.0,159.744408945687,284900.0,1800.0,35429.0,204500.0,215400.0,1546.0
2017-11-30,Texas,80.0,119.603921568627,269000.0,1495.0,29414.0,214100.0,172900.0,1438.0
2017-11-30,Washington,61.0,203.551136363636,350000.0,1920.0,10877.0,333400.0,349100.0,1837.0
